id,sn
LIMA,1
RODRIGUES,2
ROCHA,1
AGUIAR,0
JOSE,1
RICARDO,0
GUILHERME,0
PEREIRA,2
ALVES,2
ANTONIO,1
SOUSA,2
MARQUES,1
MARIA,2
ARAUJO,1
LEANDRO,0
VIANA,0
COSTA,1
FERNANDES,1
BATISTA,1
GOMES,2
LOPES,1
CABRAL,0
FEREIRA,2
NUNES,1
FRANCISCO,1
CARLOS,1
DOMINGOS,0
RIBEIRO,2
GONCALVES,1
CAVALCANTE,0
MARTINS,1
MARIANO,0
DINIZ,0
SOLIDADE,0
CICERO,0
CARMO,0
SANTOS,2
PAULA,1
IRIS,0
MACHADO,0
CAMPOS,0
SILVA,2
DEUS,0
F,0
NOVAIS,0
FELIPE,0
ALMEIDA,1
MIRANDA,1
PAZ,0
SOARES,1
CASTRO,0
MOREIRA,1
COREIA,0
TEIXEIRA,1
CAMPELO,0
DAVI,0
RAIMUNDO,0
BRUNA,0
LUCAS,0
GAMA,0
EDITE,0
CREUZA,0
ABADIA,0
CARVALHO,1
LEMOS,0
PESSOA,0
NETA,0
OLIVEIRA,2
GRACAS,0
SERGIO,0
DIVINO,0
SEVERINO,0
NONATO,1
REGINA,0
FATIMA,1
ABREU,0
MENDES,1
BARBOSA,1
SILVIA,0
LUSTOSA,0
JESUS,1
ANA,0
CAETANO,0
REIS,1
FREITAS,0
BRITO,1
BAROS,1
GARCIA,0
MERCES,0
FIGUEIRA,0
APARECIDA,1
CELIA,0
LUCIA,1
MOTA,0
DIAS,1
PIMENTEL,0
VIEIRA,1
TAVARES,1
SOCORO,1
BONFIM,0
CARLA,0
PABLO,0
APARECIDO,0
LISBOA,0
CLARA,0
LUIZ,1
LUISA,0
TORES,0
BENTO,0
GUERA,0
NASCIMENTO,1
BORGES,1
LUZ,0
MATIAS,0
CONCEICAO,1
DORES,0
CLEIA,0
MATEUS,0
VICTOR,0
DUARTE,0
NEVES,0
PINHEIRO,0
CRISTINA,1
CANDIDA,0
BERNARDES,0
FELIX,0
MADALENA,0
CLARINDO,0
NOLETO,0
LUCIO,0
MONTEIRO,0
AZEVEDO,0
FELICIANO,0
KAROLINE,0
CALDAS,0
O,0
BEZERA,1
LAIS,0
CUSTODIO,0
VICENTE,0
RAQUEL,0
RITA,0
CLAUDIA,0
NEUZA,0
CARDOSO,1
FILHO,0
WAGNER,0
VITORINO,0
SANTANA,1
CRUZ,0
MORAIS,0
GABRIELA,0
LUCENA,0
M,0
C,0
VAZ,0
SENA,0
GLORIA,0
CESAR,0
ASSUNCAO,0
ANJOS,0
NONATA,0
VIERA,0
EMILIA,0
PINTO,1
MELQUIADES,0
GONZAGA,0
QUIXABA,0
FERNANDO,0
RIOS,0
FRANCISCA,1
MARIO,0
CHAGAS,0
MARINHO,0
GALVAO,0
HELOISA,0
FARIAS,0
ROSA,1
HENRIQUE,1
DANIEL,0
LAURA,0
VITORIA,1
VITOR,0
CORADO,0
JULYA,0
GERALDO,0
NETO,0
EMANUEL,0
FERNANDA,0
NILVA,0
ARTUR,0
KATIA,0
CHAVES,0
MATOS,0
LORANY,0
CRISTINE,0
SANTA,0
PIRES,0
ALENCAR,0
GERMANO,0
EDUARDO,1
CRISTIANE,0
PAULO,0
VINICIUS,0
MARLENE,0
ORLANDO,0
GORETE,0
ALBERTO,0
R,0
COELHO,1
ALMIR,0
MACEDO,0
MOURA,0
LORANE,0
ANTONIA,0
DIVINA,0
TRINDADE,0
SONIA,0
GONSALVES,0
BRUNO,0
EVELYN,0
QUEIROZ,0
MONTEL,0
VASCONCELOS,0
MILHOMEM,0
PAULINO,0
RUBENS,0
CAROLINE,0
OLIMPIO,0
PATRICIA,0
CORTEZ,0
DANTAS,0
MORAES,0
AMERICO,0
ROSARIO,0
TEREZINHA,0
AMORIM,0
AMPARO,0
CORDEIRO,0
SALETE,0
ZELIA,0
MERCEDES,0
BISPO,0
COREA,0
INES,0
FONSECA,0
JANUARIO,0
MARCOS,0
DOMINGAS,0
RANGEL,0
LUIS,0
RESPLANDES,0
DIEGO,0
HELENA,0
ROGERIO,0
NAZARE,0
BAREIRA,0
NOGUEIRA,0
CURSINO,0
FEITOSA,0
PIEDADE,0
PARENTE,0
MIGUEL,0
NERES,0
VOGADO,0
TRANQUEIRA,0
PEDRO,0
CUNHA,0
TELES,0
RAMOS,0
NILSON,0
ROBERTO,0
PACHECO,0
PORTILHO,0
CARNEIRO,1
DILMA,0
AQUINO,0
ALICE,0
WANDERSON,0
GUIMARAES,0
MESSIAS,0
RUAN,0
MELO,0
MAGALHAES,0
A,0
COIMBRA,0
NATIVIDADE,0
RAIMUNDA,0
LUIZA,0
LETICIA,0
EDUARDA,0
KAROLINA,0
D,0
TAIS,0
JUNIOR,0
ASSIS,0
VILMA,0
ELZA,0
FRANCA,0
ESTEVES,0
EDILEUZA,0
FIRMINO,0
LOUDES,0
ANDRE,0
GOVEIA,0
JOANA,0
BALBINO,0
JOAQUINA,0
AUGUSTO,0
CANDIDO,0
DAVID,0
ESPIRITO,0
EVANGELISTA,0
AMANCIO,0
BASTOS,0
BRAGA,0
ALEXANDRE,0
VALERIA,0
XAVIER,0
MAGNO,0
LOURDES,0
LAZARO,0
HUMBERTO,0
LUZIA,0
BOMFIM,0
AMELIA,0
ONEIDE,0
NEUSA,0
MENEZES,0
SARAIVA,0
INEZ,0
BERNARDINO,0
TENORIO,0
TEREZA,0
RAMALHO,0
LINO,0
BENEDITA,0
LEONEL,0
LURDES,0
LINHARES,0
TOMAZ,0
JULIA,0
GERALDA,0
COUTINHO,0
AVELINO,0
DOURADO,0
CERQUEIRA,0
CASSIA,0
NATALIA,0
AMARAL,0
PAIXAO,0
CLEIDE,0
MANUEL,0
JOAQUIM,0
ANDRADE,0
G,0
JULIANA,0
BENICIO,0
ARUDA,0
LEAL,0
ELIENE,0
NILDA,0
MARTA,0
BENTA,0
MACIEL,0
RAFAELA,0
DALVA,0
B,0
ELIANE,0
BASILIO,0
WILSON,0
MASCARENHA,0
AIRES,0
CIRQUEIRA,0
CICERA,0
SANTIAGO,0
QUIXABEIRA,0
SALES,0
NEIDE,0
NEIVA,0
P,0
BELEM,0
DIONISIO,0
GEOVANA,0
PAIVA,0
HONORATO,0
WANDERLEY,0
LIVRAMENTO,0
ANUNCIACAO,0
FACUNDES,0
LUAN,0
SODRE,0
BARBARA,0
CELESTINO,0
QUINTINO,0
AMARO,0
GUIA,0
VILANOVA,0
ELIAS,0
GIL,0
CIPRIANO,0
EDSON,0
MARCIA,0
ARANTES,0
TOLENTINO,0
FRAGA,0
HUGO,0
MEDRADO,0
MARCIEL,0
EURIPEDES,0
N,0
DAMASCENO,0
MASCARENHAS,0
DARK,0
PENHA,0
VINICIOS,0
VALADARES,0
JARDIM,0
REZENDE,0
MAURICIO,0
FIGUEREDO,0
TIAGO,0
SOBRINHO,0
MEDEIROS,0
VALE,0
SILVEIRA,0
DELFINO,0
ADRIANO,0
GABRIEL,1
ISABEL,0
AFONSO,0
BANDEIRA,0
LACERDA,0
SILVERIO,0
V,0
ESPINDOLA,0
GUIDA,0
JORGE,0
GASPAR,0
PERERIA,0
WESLEY,0
IZABEL,0
SIQUEIRA,0
GUEDES,0
GUSTAVO,0
BRAZ,0
QUIRINO,0
NUBIA,0
MARA,0
KASSIA,0
DOUGLAS,0
CALDEIRA,0
FURTADO,0
BEATRIZ,0
RESENDE,0
DIONE,0
WILIAN,0
MOURAO,0
LIRA,0
EUNICE,0
STEFANY,0
FAUSTINO,0
RIBAMAR,0
MARIANA,0
KELY,0
MEIRE,0
FLORENTINO,0
DAMACENO,0
IVO,0
SUELY,0
JORDANA,0
MONTELO,0
CRAVEIRO,0
BUENO,0
PONTES,0
MAMEDIO,0
LOURENCO,0
LIMEIRA,0
NERI,0
DARC,0
HOLANDA,0
PATRICIO,0
MENDONCA,0
KELE,0
ROQUE,0
CECILIA,0
JACINTO,0
TEODORO,0
INACIO,0
TEXEIRA,0
PEREIA,0
GABRIELY,0
ESTER,0
ODETE,0
DONIZETE,0
VILELA,0
BRENO,0
PERPETUA,0
VILA,0
VERONICA,0
CLEMENTE,0
FRANCELINO,0
COREIRA,0
MARCIO,0
HILARIO,0
MANOEL,0
RONALDO,0
EUSTAQUIO,0
DUTRA,0
LUCIMAR,0
RUBIA,0
CAMILO,0
ALCANTARA,0
CEZAR,0
JOSEFA,0
LEITE,0
LEAO,0
PERPETUO,0
CAMILA,0
GABRIELE,0
FREIRE,0
MENESES,0
FRANCO,0
PEIXOTO,0
ERNESTO,0
CONSOLACAO,0
JUSTINO,0
REGIS,0
VIRGINIO,0
NAZARIO,0
MAYARA,0
L,0
JANE,0
PATROCINIO,0
PRADO,0
RESPLANDE,0
GALDINO,0
LUCILENE,0
LOBO,0
CLEONICE,0
SIRIANO,0
INACIA,0
BETANIA,0
NILTON,0
EDILSON,0
REMEDIOS,0
APOLINARIO,0
MOISES,0
MADEIRA,0
BRANDAO,0
LEMES,0
LARISSA,0
MARCELINA,0
BORBA,0
SAMPAIO,0
RENATO,0
ZULEIDE,0
LUCIANA,0
MUNIZ,0
PERES,0
AUGUSTA,0
CAMARA,0
LUCIANO,0
IRACI,0
ANGELO,0
SANDES,0
MATA,0
IRENE,0
VALERIO,0
SABINO,0
AYRES,0
EDNA,0
MARANHAO,0
ANGELA,0
BOTELHO,0
CELMA,0
REGES,0
S,0
OLINDA,0
CAROLINA,0
GOUVEIA,0
EUDES,0
HELEN,0
CURCINO,0
ROSE,0
MAIA,0
JULIO,0
SA,0
BENVINDO,0
SIRQUEIRA,0
DOMINGUES,0
KARLA,0
ROSENO,0
RENATA,0
FABIO,0
DANILO,0
CRISTINO,0
ROBERTA,0
MARY,0
BRASIL,0
PATRICK,0
RAFAEL,0
EMANUELA,0
FLAVIA,0
ANDERSON,0
PAES,0
CRISTIANO,0
PASSOS,0
LORENA,0
TIMOTEO,0
MARCELO,0
TURIBIO,0
SEVERO,0
SARDINHA,0
SEBASTIAO,0
JALES,0
KAREN,0
LOURANE,0
BOSCO,0
FERAZ,0
PERIERA,0
DIONIZIO,0
ESTEVAO,0
BENEDITO,0
MORENO,0
VIDAL,0
CLEITON,0
FONTES,0
CAROLINY,0
MAX,0
CLAUDIO,0
TERESA,0
CANTUARIO,0
ELISA,0
SILVINO,0
MESQUITA,0
ARIMATEIA,0
PIMENTA,0
CORTES,0
JUNIO,0
SIMONE,0
ELEN,0
SERAFIM,0
CALIXTO,0
REBECA,0
NILZA,0
CASSIO,0
KELEN,0
SAMARA,0
ALBINO,0
ALEX,0
DAIANE,0
MARCELINO,0
DEUSA,0
BERNARDO,0
SOBRAL,0
FABIANO,0
MICHELE,0
JERONIMO,0
ANGELICA,0
ROBSON,0
MAURA,0
FERNADES,0
ANTUNES,0
FONTOURA,0
VENANCIO,0
LARA,0
COUTO,0
DAYANE,0
ANDREIA,0
CAREIRO,0
DOLORES,0
BIANCA,0
ZILMA,0
REGIA,0
TULIO,0
ADAO,0
LEONARDO,0
VANIA,0
PRISCILA,0
DINALVA,0
ADRIANA,0
REGO,0
NORONHA,0
RABELO,0
LAURINDO,0
SABRINA,0
VERA,0
BELARMINO,0
BONIFACIO,0
T,0
SANDRA,0
ARAGAO,0
RODRIGO,0
NATAL,0
VERAS,0
PIETRO,0
SANCHES,0
MAXIMO,0
ISABELA,0
CLARO,0
PRIMO,0
TITO,0
RUFINO,0
LUANA,0
FRAGOSO,0
SOLANGE,0
FALCAO,0
HONORIO,0
CAMARGO,0
MONICA,0
IVAN,0
CONRADO,0
MAIARA,0
POLIANA,0
