id,unm
CUNHA,1
DIAS,1
LISBOA,0
MILHOMEM,0
ROCHA,1
AGUIAR,1
SILVA,2
SOUSA,2
CARVALHO,2
LIMA,2
LEITE,1
RODRIGUES,2
BARBOSA,1
GOMES,1
KRAHO,0
VIANA,0
SANTOS,2
JAVAE,0
MACEDO,1
REIS,1
LEANDRO,0
SANTANA,1
FELIX,0
COSTA,2
ANJOS,0
MARANHAO,0
NASCIMENTO,2
CABRAL,0
FEREIRA,2
CIRQUEIRA,0
MARQUES,0
OLIVEIRA,2
TORES,0
FRANCISCA,0
MARTINS,1
BEZERA,1
MENDES,1
ASSIS,0
LOPES,1
MACENA,0
CONCEICAO,2
CAMPOS,1
RESENDE,0
MORAIS,1
MOURA,1
GUEDES,0
NOVAIS,0
FREIRE,0
ALMEIDA,1
MIRANDA,1
RIBEIRO,1
AMORIM,0
RAMOS,1
LUZ,1
BAREIRA,0
ARAUJO,2
TEIXEIRA,1
SOARES,1
BRAGA,0
BAROS,1
BORGES,1
JESUS,2
CARDOSO,1
LEMOS,0
NOLETO,0
NEGRE,0
ALVES,1
MACHADO,1
PEREIRA,2
SEVERINO,0
FREITAS,1
MACIEL,0
PRAZERES,0
XERENTE,0
FIGUEIRA,0
MOTA,1
PIMENTEL,0
AZEVEDO,0
COREIA,0
LUSTOSA,0
SA,0
JACINTO,0
MARINHO,1
SALES,0
PINTO,1
ALENCAR,0
JORGE,0
MONTEIRO,0
ROSA,0
MOREIRA,1
FRANCA,0
FIRMINO,0
NEVES,0
PORTO,0
CARMO,0
SANTO,0
CAVALCANTE,1
LIRA,0
FERNANDES,1
PRADO,0
CASTRO,1
MELO,1
GUIMARAES,1
PENHA,0
UCHOA,0
ANDRADE,1
NETO,0
NUNES,1
FRAZAO,0
BATISTA,1
PESSOA,0
LUCENA,0
NOGUEIRA,0
ARUDA,0
TELES,0
HOLANDA,0
PINHEIRO,0
VIEIRA,1
CARNEIRO,1
LINO,0
MAGALHAES,0
MENEZES,0
EVANGELISTA,0
RIOS,0
FEITOSA,1
PAULA,0
PARENTE,0
ABREU,1
SILVEIRA,0
SAMPAIO,0
JARDIM,0
BRITO,1
CUSTODIO,0
SOSUA,0
PINHO,0
PAZ,0
ALEXANDRE,0
MENESES,0
CORDEIRO,0
TRINDADE,0
GONCALVES,1
GONSALVES,0
PIRES,0
LACERDA,0
FARIAS,0
CERQUEIRA,0
CRUZ,1
GAMA,0
MENDONCA,0
PACHECO,0
B,0
FRANCO,0
MASCARENHAS,0
CORTEZ,0
MATIAS,0
DAMASCENO,0
LEAL,0
VASCONCELOS,0
MORAES,0
COELHO,1
CANTUARIO,0
COIMBRA,0
PT,0
DERNTR,0
QUEIROZ,0
DOSRMSNR,0
XAVIER,0
DARHKU,0
FIGUEIREDO,0
DERNTY,0
GLORIA,0
SANTIAGO,0
NORONHA,0
CALDEIRA,0
PASSOS,0
LEAO,0
FRAGA,0
AMERICO,0
REGO,0
PAIVA,0
REZENDE,0
GUILHERME,0
TAVARES,0
AQUINO,0
QUIXABA,0
FRANCISCO,0
AMARAL,0
DEUS,0
FONTINELE,0
MATOS,1
BENICIO,0
RANGEL,0
LOBO,0
SIQUEIRA,0
FILHO,0
VELOSO,0
DANTAS,0
FILHA,0
MESQUITA,0
GUIDA,0
SALGADO,0
FONSECA,0
CHAGAS,0
PONTES,0
AMORIN,0
RABELO,0
ARUJO,0
VARANDA,0
VANDERLEY,0
GALVAO,0
VAZ,0
VALE,0
RAMALHO,0
DUARTE,0
FOLHA,0
MARACAIPE,0
SOBRINHO,0
MATA,0
ROSARIO,0
NEGREIRO,0
SOBRAL,0
PAIXAO,0
SARAIVA,0
SERTAO,0
TEODORO,0
NERES,0
GIL,0
MELQUIADES,0
AVELINO,0
BASTOS,0
NAZARE,0
SIRQUEIRA,0
DORES,0
FURTADO,0
COUTO,0
RESPLANDES,0
VIRGULINO,0
CASTILHO,0
APINAGE,0
MEDRADO,0
LOURDES,0
VALADARES,0
GRACAS,0
ASSUNCAO,0
FELIPE,0
GOUVEIA,0
CHAVES,0
SOLIDADE,0
MARIA,0
CURSINO,0
AIRES,0
KU,0
QUIXABEIRA,0
HENRIQUE,0
BONFIM,0
LEITAO,0
CAREIRO,0
PERES,0
MUNIZ,0
COUTINHO,0
SODRE,0
LOURENCO,0
BANDEIRA,0
PRIMO,0
VILANOVA,0
CONCECAO,0
BRANDAO,0
SANCHES,0
MESSIAS,0
SENA,0
FIGUEREDO,0
MADUREIRA,0
FRAGOSO,0
GODOI,0
GODINHO,0
SIMOES,0
ALCANTARA,0
ALBUQUERQUE,0
DINIZ,0
AFONSO,0
PEDROSA,0
CANDIDO,0
BELEM,0
MADALENA,0
BISPO,0
ESPINDOLA,0
PIMENTA,0
DARES,0
QUINTANILHA,0
MONTALVAO,0
OLIVIERA,0
BARETO,0
TAVEIRA,0
BRANCO,0
POVOA,0
REGES,0
BENTO,0
NOVA,0
VIDAL,0
DUTRA,0
WANDERLEY,0
MONTELO,0
MONTEL,0
FARIA,0
VENANCIO,0
CAMARGO,0
SALDANHA,0
BERNARDES,0
VERAS,0
NETA,0
MARIANO,0
FEITOZA,0
MEDEIROS,0
MIGUEL,0
NOBRE,0
BAROSO,0
BRASIL,0
MERCES,0
BARCELOS,0
GARCIA,0
TRANQUEIRA,0
MORENO,0
BOTELHO,0
MOURAO,0
PUTENCIO,0
FAGUNDES,0
PUGAS,0
PRETO,0
BULHOES,0
CAETANO,0
RESPLANDE,0
LAGO,0
ANUNCIACAO,0
LOBATO,0
DOURADO,0
TEXEIRA,0
CAMARA,0
LINHARES,0
BUENO,0
VENTURA,0
GUSMAO,0
NAZARENO,0
MADEIRA,0
SARDINHA,0
PEIXOTO,0
SANDES,0
FLORES,0
VIRGOLINO,0
JOSE,0
LUIZ,0
TURIBIO,0
PAULO,0
TOLEDO,0
SIVA,0
CAMPELO,0
ARANTES,0
PEGO,0
BESSA,0
PATRICIO,0
QUIRINO,0
FIALHO,0
DAMACENA,0
KARAJA,0
FAUSTINO,0
CALIXTO,0
GONZAGA,0
VARGAS,0
FERAZ,0
LANDIM,0
BRINGEL,0
PAULINO,0
MAIA,0
CORTES,0
VARAO,0
FONTES,0
PATROCINIO,0
SOCORO,0
BRAZ,0
FONTOURA,0
GOES,0
FE,0
BERNARDO,0
INACIO,0
COREA,0
NAVES,0
ARAGAO,0
NOVAES,0
DASILVA,0
RUFINO,0
GOIS,0
CORADO,0
PALMEIRA,0
CAMELO,0
CESAR,0
GOVEIA,0
ATAIDES,0
CALDAS,0
ARAIS,0
DAMACENO,0
LOIOLA,0
SACRAMENTO,0
INFORMADO,0
BORBA,0
PAES,0
ALEXANDRIA,0
SERPA,0
DAMASCENA,0
BONIFACIO,0
NEPONUCENO,0
TITO,0
VILELA,0
HONORATO,0
NAZARIO,0
DENKHUDHQ,0
GANDARA,0
SERA,0
CAIXETA,0
SILVESTRE,0
VANDERLEI,0
PORTILHO,0
NEGREIROS,0
CONCEIAAO,0
APARECIDA,0
CELESTINO,0
NOBREGA,0
URCINO,0
GUALBERTO,0
NATIVIDADE,0
FATIMA,0
ANTUNES,0
LEMES,0
MARCAL,0
SERAFIM,0
DIOGENES,0
NEIVA,0
ILVA,0
APINAJE,0
NONATO,0
MASCARENHA,0
CANDIDA,0
PAREIRA,0
SIMAO,0
HORA,0
ABADIA,0
GUERA,0
MODESTO,0
LINS,0
CAMILO,0
ELIAS,0
BASILIO,0
GUARANI,0
